set horizon := 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 ;

set datasets := 0 1 2 3 4 5 6 7 8 9 10 11 12 13 ;

set weatherBins := 0 1 2 3 4 5 6 7 8 ;

param energyDemand := 
11 15 79.000000 
11 16 79.800000 
11 17 79.600000 
11 18 78.700000 
11 19 76.000000 
11 20 73.200000 
11 21 71.900000 
11 22 70.800000 
11 23 68.800000 
12 0 67.300000 
12 1 66.900000 
12 2 66.900000 
12 3 66.500000 
12 4 66.300000 
12 5 65.800000 
12 6 65.200000 
12 7 64.300000 
12 8 63.700000 
12 9 64.200000 
12 10 67.500000 
12 11 71.400000 
12 12 77.300000 
12 13 79.100000 
12 14 80.000000 
12 15 81.500000 
12 16 81.700000 
12 17 81.800000 
12 18 80.800000 
12 19 77.800000 
12 20 73.500000 
12 21 71.400000 
12 22 70.800000 
12 23 70.100000 
13 0 67.600000 
13 1 66.500000 
13 2 64.800000 
13 3 62.500000 
13 4 60.800000 
13 5 59.000000 
13 6 57.200000 
13 7 55.400000 
13 8 54.200000 
13 9 53.700000 
13 10 55.100000 
13 11 57.800000 
13 12 59.000000 
13 13 60.000000 
13 14 62.300000 
13 15 63.600000 
13 16 64.500000 
13 17 64.700000 
13 18 64.200000 
13 19 60.700000 
13 20 56.300000 
13 21 53.900000 
13 22 52.100000 
13 23 49.900000;

param weatherBinIndicator := 
0 0 0 0.000000 
0 0 1 1.000000 
0 0 2 0.000000 
0 0 3 0.000000 
0 0 4 0.000000 
0 0 5 0.000000 
0 0 6 0.000000 
0 0 7 0.000000 
0 0 8 0.000000 
0 1 0 0.000000 
0 1 1 1.000000 
0 1 2 0.000000 
0 1 3 0.000000 
0 1 4 0.000000 
0 1 5 0.000000 
0 1 6 0.000000 
0 1 7 0.000000 
0 1 8 0.000000 
0 2 0 0.000000 
0 2 1 1.000000 
0 2 2 0.000000 
0 2 3 0.000000 
0 2 4 0.000000 
0 2 5 0.000000 
0 2 6 0.000000 
0 2 7 0.000000 
0 2 8 0.000000 
0 3 0 0.000000 
0 3 1 1.000000 
0 3 2 0.000000 
0 3 3 0.000000 
0 3 4 0.000000 
0 3 5 0.000000 
0 3 6 0.000000 
0 3 7 0.000000 
0 3 8 0.000000 
0 4 0 1.000000 
0 4 1 0.000000 
0 4 2 0.000000 
0 4 3 0.000000 
0 4 4 0.000000 
0 4 5 0.000000 
0 4 6 0.000000 
0 4 7 0.000000 
0 4 8 0.000000 
0 5 0 1.000000 
0 5 1 0.000000 
0 5 2 0.000000 
0 5 3 0.000000 
0 5 4 0.000000 
0 5 5 0.000000 
0 5 6 0.000000 
0 5 7 0.000000 
0 5 8 0.000000 
0 6 0 1.000000 
0 6 1 0.000000 
0 6 2 0.000000 
0 6 3 0.000000 
0 6 4 0.000000 
0 6 5 0.000000 
0 6 6 0.000000 
0 6 7 0.000000 
0 6 8 0.000000 
0 7 0 1.000000 
0 7 1 0.000000 
0 7 2 0.000000 
0 7 3 0.000000 
0 7 4 0.000000 
0 7 5 0.000000 
0 7 6 0.000000 
0 7 7 0.000000 
0 7 8 0.000000 
0 8 0 1.000000 
0 8 1 0.000000 
0 8 2 0.000000 
0 8 3 0.000000 
0 8 4 0.000000 
0 8 5 0.000000 
0 8 6 0.000000 
0 8 7 0.000000 
0 8 8 0.000000 
0 9 0 0.000000 
0 9 1 1.000000 
0 9 2 0.000000 
0 9 3 0.000000 
0 9 4 0.000000 
0 9 5 0.000000 
0 9 6 0.000000 
0 9 7 0.000000 
0 9 8 0.000000 
0 10 0 0.000000 
0 10 1 0.000000 
0 10 2 1.000000 
0 10 3 0.000000 
0 10 4 0.000000 
0 10 5 0.000000 
0 10 6 0.000000 
0 10 7 0.000000 
0 10 8 0.000000 
0 11 0 0.000000 
0 11 1 0.000000 
0 11 2 0.000000 
0 11 3 1.000000 
0 11 4 0.000000 
0 11 5 0.000000 
0 11 6 0.000000 
0 11 7 0.000000 
0 11 8 0.000000 
0 12 0 0.000000 
0 12 1 0.000000 
0 12 2 0.000000 
0 12 3 1.000000 
0 12 4 0.000000 
0 12 5 0.000000 
0 12 6 0.000000 
0 12 7 0.000000 
0 12 8 0.000000 
0 13 0 0.000000 
0 13 1 0.000000 
0 13 2 0.000000 
0 13 3 0.000000 
0 13 4 1.000000 
0 13 5 0.000000 
0 13 6 0.000000 
0 13 7 0.000000 
0 13 8 0.000000 
0 14 0 0.000000 
0 14 1 0.000000 
0 14 2 0.000000 
0 14 3 0.000000 
0 14 4 1.000000 
0 14 5 0.000000 
0 14 6 0.000000 
0 14 7 0.000000 
0 14 8 0.000000 
0 15 0 0.000000 
0 15 1 0.000000 
0 15 2 0.000000 
0 15 3 0.000000 
0 15 4 1.000000 
0 15 5 0.000000 
0 15 6 0.000000 
0 15 7 0.000000 
0 15 8 0.000000 
0 16 0 0.000000 
0 16 1 0.000000 
0 16 2 0.000000 
0 16 3 0.000000 
0 16 4 1.000000 
0 16 5 0.000000 
0 16 6 0.000000 
0 16 7 0.000000 
0 16 8 0.000000 
0 17 0 0.000000 
0 17 1 0.000000 
0 17 2 0.000000 
0 17 3 0.000000 
0 17 4 1.000000 
0 17 5 0.000000 
0 17 6 0.000000 
0 17 7 0.000000 
0 17 8 0.000000 
0 18 0 0.000000 
0 18 1 0.000000 
0 18 2 0.000000 
0 18 3 0.000000 
0 18 4 1.000000 
0 18 5 0.000000 
0 18 6 0.000000 
0 18 7 0.000000 
0 18 8 0.000000 
0 19 0 0.000000 
0 19 1 0.000000 
0 19 2 0.000000 
0 19 3 1.000000 
0 19 4 0.000000 
0 19 5 0.000000 
0 19 6 0.000000 
0 19 7 0.000000 
0 19 8 0.000000 
0 20 0 0.000000 
0 20 1 0.000000 
0 20 2 1.000000 
