set horizon := 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 ;

set datasets := 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 ;

set weatherBins := 0 ;

param energyDemand := 
5 7 24.500000 
5 8 24.500000 
5 9 25.200000 
5 10 26.700000 
5 11 28.100000 
5 12 29.400000 
5 13 30.700000 
5 14 30.600000 
5 15 31.900000 
5 16 31.900000 
5 17 31.000000 
5 18 30.000000 
5 19 28.700000 
5 20 28.000000 
5 21 27.000000 
5 22 25.800000 
5 23 23.100000 
6 0 22.400000 
6 1 22.000000 
6 2 21.400000 
6 3 21.000000 
6 4 21.100000 
6 5 21.300000 
6 6 21.700000 
6 7 21.900000 
6 8 22.400000 
6 9 23.000000 
6 10 23.800000 
6 11 24.600000 
6 12 25.200000 
6 13 25.500000 
6 14 26.100000 
6 15 26.500000 
6 16 26.900000 
6 17 27.400000 
6 18 26.500000 
6 19 25.900000 
6 20 25.000000 
6 21 24.800000 
6 22 24.500000 
6 23 23.800000 
7 0 22.800000 
7 1 22.500000 
7 2 21.700000 
7 3 21.600000 
7 4 21.900000 
7 5 21.700000 
7 6 21.500000 
7 7 21.600000 
7 8 21.600000 
7 9 22.300000 
7 10 23.700000 
7 11 25.200000 
7 12 27.900000 
7 13 29.300000 
7 14 30.000000 
7 15 27.800000 
7 16 27.100000 
7 17 25.700000 
7 18 25.000000 
7 19 23.100000 
7 20 21.900000 
7 21 20.700000 
7 22 19.700000 
7 23 18.600000 
8 0 17.200000 
8 1 15.800000 
8 2 15.000000 
8 3 14.400000 
8 4 13.500000 
8 5 12.600000 
8 6 11.800000 
8 7 11.200000 
8 8 11.300000 
8 9 14.300000 
8 10 17.700000 
8 11 20.000000 
8 12 21.100000 
8 13 22.000000 
8 14 22.500000 
8 15 23.200000 
8 16 23.400000 
8 17 23.000000 
8 18 21.500000 
8 19 18.700000 
8 20 16.400000 
8 21 14.100000 
8 22 13.000000 
8 23 12.300000 
9 0 11.200000 
9 1 10.900000 
9 2 9.900000 
9 3 9.700000 
9 4 9.700000 
9 5 8.800000 
9 6 8.500000 
9 7 8.500000 
9 8 8.700000 
9 9 11.700000 
9 10 15.300000 
9 11 19.400000 
9 12 21.300000 
9 13 22.400000 
9 14 22.800000 
9 15 23.300000 
9 16 22.900000 
9 17 23.000000 
9 18 21.400000 
9 19 18.800000 
9 20 16.300000 
9 21 15.100000 
9 22 14.400000 
9 23 14.200000 
10 0 13.600000 
10 1 12.500000 
10 2 11.400000 
10 3 11.200000 
10 4 10.400000 
10 5 9.800000 
10 6 9.400000 
10 7 8.900000 
10 8 9.600000 
10 9 12.800000 
10 10 17.200000 
10 11 20.400000 
10 12 22.000000 
10 13 22.900000 
10 14 23.600000 
10 15 24.000000 
10 16 24.500000 
10 17 24.300000 
10 18 23.100000 
10 19 20.200000 
10 20 18.900000 
10 21 17.900000 
10 22 16.900000 
10 23 16.000000 
11 0 15.200000 
11 1 14.900000 
11 2 14.400000 
11 3 14.300000 
11 4 14.700000 
11 5 14.700000 
11 6 14.500000 
11 7 14.300000 
11 8 15.200000 
11 9 17.400000 
11 10 20.100000 
11 11 23.100000 
11 12 24.300000 
11 13 25.800000 
11 14 26.900000 
11 15 27.400000 
11 16 27.300000 
11 17 26.800000 
11 18 25.300000 
11 19 23.500000 
11 20 22.200000 
11 21 21.400000 
11 22 21.100000 
11 23 20.900000 
12 0 20.300000 
12 1 19.600000 
12 2 18.900000 
12 3 18.000000 
12 4 16.900000 
12 5 16.900000 
12 6 16.100000 
12 7 15.800000 
12 8 15.500000 
12 9 17.200000 
12 10 20.200000 
12 11 24.400000 
12 12 26.200000 
12 13 27.500000 
12 14 28.500000 
12 15 29.200000 
12 16 29.500000 
12 17 29.100000 
12 18 28.100000 
12 19 25.400000 
12 20 23.100000 
12 21 22.000000 
12 22 20.800000 
12 23 20.800000 
13 0 20.100000 
13 1 19.600000 
13 2 19.100000 
13 3 18.500000 
13 4 18.900000 
13 5 19.200000 
13 6 18.600000 
13 7 18.500000 
13 8 18.800000 
13 9 20.800000 
13 10 23.800000 
13 11 26.700000 
13 12 28.300000 
13 13 28.600000 
13 14 29.300000 
13 15 29.700000 
13 16 30.100000 
13 17 30.200000 
13 18 28.900000 
13 19 25.700000 
